"Year","LGA","Contamination_rate","Rank"
"2019","Queenscliffe",2.62,1
"2019","Towong",3.6,2
"2019","Hobsons Bay",4.13,3
"2019","Frankston",4.35,4
"2019","Central Goldfields",5,5
"2019","Mildura",5.22,6
"2019","Bass Coast",6,7
"2019","Strathbogie",6.19,8
"2019","Manningham",6.44,9
"2019","Casey",6.45,10
"2019","Yarra Ranges",6.58,11
"2019","Moonee Valley",6.59,12
"2019","Banyule",6.6,13
"2019","Knox",6.6,13
"2019","Moreland",6.6,13
"2019","Mount Alexander",6.6,13
"2019","Southern Grampians",6.6,13
"2019","Whitehorse",6.6,13
"2019","Wyndham",6.6,13
"2019","Macedon Ranges",6.61,14
"2019","Gannawarra",6.76,15
"2019","Monash",7,16
"2019","Moorabool",7.07,17
"2019","Wellington",7.48,18
"2019","Greater Geelong",7.5,19
"2019","Murrindindi",7.68,20
"2019","Indigo",7.73,21
"2019","South Gippsland",8,22
"2019","Wodonga",8.39,23
"2019","Alpine",8.4,24
"2019","Maribyrnong",8.67,25
"2019","Corangamite",9.75,26
"2019","Cardinia",9.91,27
"2019","East Gippsland",9.94,28
"2019","Darebin",10,29
"2019","Port Phillip",10,29
"2019","Colac Otway",10.03,30
"2019","Kingston",10.49,31
"2019","Boroondara",10.54,32
"2019","Glen Eira",10.63,33
"2019","West Wimmera",10.66,34
"2019","Stonnington",10.68,35
"2019","Greater Dandenong",10.85,36
"2019","Buloke",10.87,37
"2019","Loddon",10.99,38
"2019","Moira",11.03,39
"2019","Maroondah",11.08,40
"2019","Bayside",11.1,41
"2019","Surf Coast",11.38,42
"2019","Greater Shepparton",11.5,43
"2019","Hume",11.95,44
"2019","Melbourne",12,45
"2019","Baw Baw",12.76,46
"2019","Benalla",12.85,47
"2019","Golden Plains",12.93,48
"2019","Yarra",13,49
"2019","Nillumbik",13.6,50
"2019","Mansfield",13.86,51
"2019","Campaspe",13.88,52
"2019","Mitchell",13.92,53
"2019","Greater Bendigo",13.99,54
"2019","Horsham",14.08,55
"2019","Warrnambool",14.69,56
"2019","Wangaratta",14.87,57
"2019","Mornington Peninsula",15.4,58
"2019","Swan Hill",15.8,59
"2019","Ballarat",16,60
"2019","Melton",16.23,61
"2019","Moyne",17.65,62
"2019","Hindmarsh",18,63
"2019","Whittlesea",18.62,64
"2019","Yarriambiack",20,65
"2019","Latrobe",21.01,66
"2019","Brimbank",23.35,67
"2019","Pyrenees",23.52,68
"2019","Glenelg",26.76,69
"2019","Northern Grampians",27.61,70
"2019","Hepburn",31.37,71
"2019","Ararat",31.43,72
