"Year","LGA","Garbage_share_of_waste","Rank"
"2019","Bass Coast",23.67,1
"2019","Strathbogie",30.1,2
"2019","Wodonga",32.53,3
"2019","Indigo",36.16,4
"2019","Corangamite",36.89,5
"2019","Moyne",38.27,6
"2019","Benalla",39.08,7
"2019","Nillumbik",40.84,8
"2019","Greater Geelong",41.45,9
"2019","Wangaratta",41.46,10
"2019","Manningham",44.45,11
"2019","East Gippsland",45.52,12
"2019","Knox",45.84,13
"2019","Maroondah",46.34,14
"2019","Frankston",46.53,15
"2019","Surf Coast",46.69,16
"2019","Greater Shepparton",47.04,17
"2019","Baw Baw",47.3,18
"2019","Moira",47.4,19
"2019","South Gippsland",47.9,20
"2019","Bayside",48.94,21
"2019","Queenscliffe",49.17,22
"2019","Boroondara",49.4,23
"2019","Mornington Peninsula",49.45,24
"2019","Whitehorse",49.54,25
"2019","Monash",49.73,26
"2019","Banyule",49.94,27
"2019","Darebin",50.09,28
"2019","Kingston",50.22,29
"2019","Latrobe",50.83,30
"2019","Yarra Ranges",50.85,31
"2019","Ballarat",50.99,32
"2019","Casey",51.14,33
"2019","Colac Otway",51.81,34
"2019","Greater Bendigo",51.99,35
"2019","Warrnambool",52.19,36
"2019","Greater Dandenong",53.36,37
"2019","Glen Eira",53.77,38
"2019","Southern Grampians",54.12,39
"2019","Cardinia",54.29,40
"2019","Alpine",55.14,41
"2019","Macedon Ranges",55.22,42
"2019","Moreland",56.05,43
"2019","Hobsons Bay",56.63,44
"2019","Central Goldfields",57.04,45
"2019","Gannawarra",57.84,46
"2019","Moonee Valley",58.89,47
"2019","Brimbank",60.54,48
"2019","Campaspe",60.84,49
"2019","Melton",60.98,50
"2019","Golden Plains",61.87,51
"2019","Moorabool",62.48,52
"2019","Yarra",62.63,53
"2019","Swan Hill",63.62,54
"2019","Mansfield",64.54,55
"2019","Mount Alexander",64.81,56
"2019","Stonnington",65.05,57
"2019","Wyndham",65.08,58
"2019","Murrindindi",65.92,59
"2019","Glenelg",66.15,60
"2019","Wellington",66.3,61
"2019","Whittlesea",66.75,62
"2019","Maribyrnong",66.99,63
"2019","Mitchell",67.03,64
"2019","Hume",67.81,65
"2019","Buloke",69.06,66
"2019","Pyrenees",69.3,67
"2019","Mildura",70.43,68
"2019","Port Phillip",70.82,69
"2019","Towong",71.29,70
"2019","Melbourne",72.22,71
"2019","Hindmarsh",73.7,72
"2019","Ararat",74.05,73
"2019","Northern Grampians",74.81,74
"2019","Yarriambiack",75.29,75
"2019","Hepburn",75.84,76
"2019","Horsham",77.87,77
"2019","Loddon",79.14,78
"2019","West Wimmera",81.3,79
